date,price_change,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors
2015-10-16,-0.007330592,722,258,30,8805,17,9
2015-10-17,0.006213995,40,28,2,897,2,0
2015-10-15,0.014971436,324,38,33,3462,29,3
2015-10-13,0.001702536,9,15,7,232,2,6
2015-10-18,0.006213995,291,39,14,2716,16,3
2015-10-19,0.006213995,1034,287,65,16364,31,10
2015-11-11,-0.005652103,1519,369,152,20050,98,43
2015-11-10,-0.031516986,1911,530,118,23438,77,23
2015-11-13,-0.029208477,767,331,86,11717,47,18
2015-11-12,-0.003358884,1312,443,269,17710,157,61
2015-10-29,0.010564283,763,150,90,9778,48,11
2015-10-28,0.041204661,1003,379,77,16281,45,19
2015-10-27,-0.006332373,635,183,70,8612,41,5
2015-10-26,-0.031911345,960,287,84,16730,40,14
2015-10-25,-0.031911345,164,93,7,2641,1,0
2015-10-23,0.030995688,573,159,33,8103,22,2
2015-10-22,0.015295341,1142,402,84,15274,68,18
2015-10-21,-8.78527E-05,679,152,68,8241,43,22
2015-10-20,0.018258247,1103,272,89,13975,52,17
2015-11-08,-0.004047563,172,48,8,2649,5,5
2015-11-09,-0.004047563,809,235,39,10657,21,3
2015-11-02,0.014058577,635,199,108,8447,69,23
2015-11-03,0.01147054,843,312,58,12221,39,5
2015-11-01,0.014058577,68,3,1,633,2,0
2015-11-06,0.00115779,1341,310,103,17111,64,12
2015-11-07,-0.004047563,76,62,9,1297,1,0
2015-11-04,-0.004650404,925,325,61,12359,37,11
2015-11-05,-0.008852475,793,188,68,9603,58,10
2015-10-30,-0.008545582,376,178,57,5995,32,12
2015-10-31,0.014058577,120,32,5,2018,2,0
