name_mentioned0,pos_neighbors0,name_mentioned2,pos_neighbors1,name_mentioned1,neg2,price_change,neg1,total0,total1,total2,pos_neighbors2,neg_neighbors0,neg_neighbors1,neg_neighbors2,pos2,neg0,pos0,pos1
2,2,33,17,30,38,0.006213995,258,897,8805,3462,29,0,9,3,324,28,40,722
14,16,30,2,2,258,0.006213995,28,2716,897,8805,17,3,0,9,722,39,291,40
65,31,2,16,14,28,0.006213995,39,16364,2716,897,2,10,3,0,40,287,1034,291
152,98,39,77,118,235,-0.005652103,530,20050,23438,10657,21,43,23,3,809,369,1519,1911
118,77,8,21,39,48,-0.031516986,235,23438,10657,2649,5,23,3,5,172,530,1911,809
86,47,152,157,269,369,-0.029208477,443,11717,17710,20050,98,18,61,43,1519,331,767,1312
269,157,118,98,152,530,-0.003358884,369,17710,20050,23438,77,61,43,23,1911,443,1312,1519
90,48,70,45,77,183,0.010564283,379,9778,16281,8612,41,11,19,5,635,150,763,1003
77,45,84,41,70,287,0.041204661,183,16281,8612,16730,40,19,5,14,960,379,1003,635
70,41,7,40,84,93,-0.006332373,287,8612,16730,2641,1,5,14,0,164,183,635,960
33,22,68,68,84,152,0.030995688,402,8103,15274,8241,43,2,18,22,679,159,573,1142
84,68,89,43,68,272,0.015295341,152,15274,8241,13975,52,18,22,17,1103,402,1142,679
68,43,65,52,89,287,-8.78527e-05,272,8241,13975,16364,31,22,17,10,1034,152,679,1103
89,52,14,31,65,39,0.018258247,287,13975,16364,2716,16,17,10,3,291,272,1103,1034
8,5,103,1,9,310,-0.004047563,62,2649,1297,17111,64,5,0,12,1341,48,172,76
39,21,9,5,8,62,-0.004047563,48,10657,2649,1297,1,3,5,0,76,235,809,172
108,69,5,2,1,32,0.014058577,3,8447,633,2018,2,23,0,0,120,199,635,68
58,39,1,69,108,3,0.01147054,199,12221,8447,633,2,5,23,0,68,312,843,635
1,2,57,2,5,178,0.014058577,32,633,2018,5995,32,0,0,12,376,3,68,120
103,64,61,58,68,325,0.00115779,188,17111,9603,12359,37,12,10,11,925,310,1341,793
9,1,68,64,103,188,-0.004047563,310,1297,17111,9603,58,0,12,10,793,62,76,1341
61,37,108,39,58,199,-0.004650404,312,12359,12221,8447,69,11,5,23,635,325,925,843
68,58,58,37,61,312,-0.008852475,325,9603,12359,12221,39,10,11,5,843,188,793,925
57,32,77,48,90,379,-0.008545582,150,5995,9778,16281,45,12,11,19,1003,178,376,763
5,2,90,32,57,150,0.014058577,178,2018,5995,9778,48,0,12,11,763,32,120,376
