date,name_mentioned0,pos_neighbors0,pos_neighbors1,name_mentioned1,price_change,neg1,total0,total1,neg_neighbors0,neg_neighbors1,neg0,pos0,pos1
2015-10-16,30,17,29,33,-0.007330592,38,8805,3462,9,3,258,722,324
2015-10-17,2,2,17,30,0.006213995,258,897,8805,0,9,28,40,722
2015-10-18,14,16,2,2,0.006213995,28,2716,897,3,0,39,291,40
2015-10-19,65,31,16,14,0.006213995,39,16364,2716,10,3,287,1034,291
2015-11-11,152,98,77,118,-0.005652103,530,20050,23438,43,23,369,1519,1911
2015-11-10,118,77,21,39,-0.031516986,235,23438,10657,23,3,530,1911,809
2015-11-13,86,47,157,269,-0.029208477,443,11717,17710,18,61,331,767,1312
2015-11-12,269,157,98,152,-0.003358884,369,17710,20050,61,43,443,1312,1519
2015-10-29,90,48,45,77,0.010564283,379,9778,16281,11,19,150,763,1003
2015-10-28,77,45,41,70,0.041204661,183,16281,8612,19,5,379,1003,635
2015-10-27,70,41,40,84,-0.006332373,287,8612,16730,5,14,183,635,960
2015-10-26,84,40,1,7,-0.031911345,93,16730,2641,14,0,287,960,164
2015-10-23,33,22,68,84,0.030995688,402,8103,15274,2,18,159,573,1142
2015-10-22,84,68,43,68,0.015295341,152,15274,8241,18,22,402,1142,679
2015-10-21,68,43,52,89,-8.78527e-05,272,8241,13975,22,17,152,679,1103
2015-10-20,89,52,31,65,0.018258247,287,13975,16364,17,10,272,1103,1034
2015-11-08,8,5,1,9,-0.004047563,62,2649,1297,5,0,48,172,76
2015-11-09,39,21,5,8,-0.004047563,48,10657,2649,3,5,235,809,172
2015-11-02,108,69,2,1,0.014058577,3,8447,633,23,0,199,635,68
2015-11-03,58,39,69,108,0.01147054,199,12221,8447,5,23,312,843,635
2015-11-01,1,2,2,5,0.014058577,32,633,2018,0,0,3,68,120
2015-11-06,103,64,58,68,0.00115779,188,17111,9603,12,10,310,1341,793
2015-11-07,9,1,64,103,-0.004047563,310,1297,17111,0,12,62,76,1341
2015-11-04,61,37,39,58,-0.004650404,312,12359,12221,11,5,325,925,843
2015-11-05,68,58,37,61,-0.008852475,325,9603,12359,10,11,188,793,925
2015-10-30,57,32,48,90,-0.008545582,150,5995,9778,12,11,178,376,763
2015-10-31,5,2,32,57,0.014058577,178,2018,5995,0,12,32,120,376
