date,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors,price_change
2015-11-03,20,1,1,318,0,0,0.01147054
2015-10-18,22,6,5,300,4,2,0.006213995
2015-11-09,82,7,1,929,0,0,-0.004047563
2015-10-28,21,4,14,287,7,4,0.041204661
2015-10-29,20,4,1,280,0,0,0.010564283
2015-11-09,2238,347,38,29824,28,0,-0.004047563
2015-10-17,7,8,1,358,1,0,0.006213995
2015-10-22,31,3,1,531,0,0,0.015295341
2015-11-05,38,0,3,346,1,0,-0.008852475
2015-10-30,20,19,1,391,0,1,-0.008545582
2015-10-16,46,2,1,516,0,0,-0.007330592
2015-10-28,47,12,19,730,13,3,0.041204661
2015-10-22,176,67,1,2305,1,0,0.015295341
2015-11-09,17,12,2,337,1,0,-0.004047563
2015-11-12,21,5,5,320,2,0,-0.003358884
2015-10-29,41,6,1,517,1,0,0.010564283
2015-11-05,26,11,9,408,5,5,-0.008852475
2015-10-29,22,2,1,404,0,0,0.010564283
2015-11-11,68,13,1,573,2,0,-0.005652103
2015-10-19,29,8,1,343,2,0,0.006213995
2015-10-16,90,12,1,863,0,0,-0.007330592
2015-11-10,79,16,1,763,1,1,-0.031516986
2015-11-05,52,5,1,537,3,0,-0.008852475
2015-10-28,23,18,1,393,0,0,0.041204661
2015-10-30,18,3,1,261,3,0,-0.008545582
2015-10-26,20,1,2,273,0,0,-0.031911345
2015-10-20,26,3,1,406,1,0,0.018258247
2015-10-26,21,10,16,740,5,1,-0.031911345
2015-10-26,42,22,2,734,2,1,-0.031911345
2015-10-27,102,4,1,778,1,0,-0.006332373
2015-10-19,13,9,1,279,0,0,0.006213995
2015-11-11,134,12,2,1160,2,0,-0.005652103
2015-11-09,7294,10982,0,130199,0,0,-0.004047563
2015-11-03,90,48,1,1615,0,0,0.01147054
2015-11-10,168,86,15,2528,13,1,-0.031516986
2015-11-11,50,1,1,427,1,0,-0.005652103
2015-11-04,14,4,12,370,5,2,-0.004650404
2015-10-23,34,1,11,412,8,0,0.030995688
2015-11-03,12277,9074,1,280626,1,0,0.01147054
2015-11-11,15,7,3,318,0,0,-0.005652103
2015-11-01,68,3,1,633,2,0,0.014058577
2015-11-10,145,49,1,1279,0,0,-0.031516986
2015-11-08,61,17,1,804,1,0,-0.004047563
2015-10-29,117,39,1,1701,0,0,0.010564283
2015-10-19,42,6,10,602,6,1,0.006213995
2015-11-13,37,15,1,479,1,0,-0.029208477
2015-11-09,42,18,0,547,0,0,-0.004047563
2015-11-09,47,1,1,384,0,0,-0.004047563
2015-11-04,122,4,1,817,2,0,-0.004650404
2015-11-05,61,2,17,620,23,0,-0.008852475
2015-10-15,90,5,1,928,2,0,0.014971436
2015-11-05,35,27,1,671,1,0,-0.008852475
2015-11-05,37,9,1,496,1,0,-0.008852475
2015-10-29,15,3,1,236,0,1,0.010564283
2015-10-20,94,26,2,769,1,1,0.018258247
2015-11-03,52,78,2,996,0,0,0.01147054
2015-11-10,19,2,5,202,4,0,-0.031516986
2015-11-11,64,3,2,649,2,0,-0.005652103
2015-11-10,75,10,1,952,0,3,-0.031516986
2015-11-06,65,17,2,758,1,0,0.00115779
2015-11-10,47,4,1,449,1,0,-0.031516986
2015-10-20,20,8,2,371,2,0,0.018258247
2015-11-12,47,20,21,630,17,5,-0.003358884
2015-10-27,28,2,7,319,7,0,-0.006332373
2015-11-06,60,8,2,707,0,0,0.00115779
2015-10-26,59,13,1,703,1,0,-0.031911345
2015-10-20,29,5,9,459,6,0,0.018258247
2015-10-27,13,4,12,297,4,1,-0.006332373
2015-10-19,9,7,10,309,0,4,0.006213995
2015-10-23,405,262,1,8369,0,0,0.030995688
2015-10-30,9,3,12,176,6,1,-0.008545582
2015-11-03,32,14,1,872,0,0,0.01147054
2015-11-12,19,1,16,359,11,0,-0.003358884
2015-11-11,17,11,4,441,0,2,-0.005652103
2015-11-04,77,29,4,996,0,1,-0.004650404
2015-10-27,24,6,1,413,0,0,-0.006332373
2015-10-20,61,24,1,1145,0,0,0.018258247
2015-11-05,21,6,1,409,0,0,-0.008852475
2015-10-23,18,2,3,313,1,0,0.030995688
2015-10-29,31,5,6,322,5,0,0.010564283
2015-11-10,21,6,1,489,0,0,-0.031516986
2015-11-08,95,21,1,1581,1,0,-0.004047563
2015-11-12,65,17,18,819,11,3,-0.003358884
2015-10-25,21,17,1,345,0,0,-0.031911345
2015-10-28,38,12,0,669,0,0,0.041204661
2015-10-22,107,17,1,1078,1,0,0.015295341
2015-11-05,32,4,1,365,0,0,-0.008852475
2015-10-23,63,6,1,618,2,0,0.030995688
2015-11-10,22,21,1,446,0,1,-0.031516986
2015-11-02,31,5,7,323,5,3,0.014058577
2015-11-03,18,9,1,406,1,0,0.01147054
2015-10-20,50,11,1,717,0,0,0.018258247
2015-11-13,77,17,2,1409,0,0,-0.029208477
2015-11-12,45,18,13,641,8,5,-0.003358884
2015-11-02,87,26,1,1380,1,0,0.014058577
2015-10-16,6,11,4,246,0,4,-0.007330592
2015-10-23,45,30,1,981,0,1,0.030995688
2015-11-10,58,15,5,661,2,1,-0.031516986
2015-10-23,96,10,0,1052,0,0,0.030995688
2015-10-26,43,11,11,817,6,3,-0.031911345
2015-11-13,35,4,1,322,1,0,-0.029208477
2015-11-10,183,14,3,1351,1,0,-0.031516986
2015-11-10,52,15,2,493,2,0,-0.031516986
