dates,article_links
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/bezos-overtakes-slim-as-world-s-fourth-richest-on-amazon-rally
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/t-mobile-unveils-free-data-to-subscribers-streaming-hbo-netflix
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/tv-networks-cut-commercial-time-as-viewers-become-numb-to-ads
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/russia-s-amazon-for-prisoners-offers-online-shopping-and-e-mail-behind-bars
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/align-loses-patent-appeal-over-copycat-dental-aligners
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/amazon-faces-eu-lawmakers-as-company-awaits-decision-on-taxes
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/facebook-and-amazon-among-11-companies-to-face-eu-grilling-on-tax
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/tackle-grab-won-t-be-the-last-to-echo-kardashian-shoedazzle-fail
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/microsoft-offers-cloud-services-from-data-centers-based-in-u-k-
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/genworth-rout-leads-to-demotion-from-s-p-500-as-synchrony-climbs
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/u-s-government-invites-silicon-valley-invasion-to-harness-data
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/vestager-lauds-tax-decisions-as-she-reviews-apple-amazon-cases
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/google-seeks-to-influence-ai-research-by-giving-software-away
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/dish-sales-miss-analysts-estimates-as-pay-tv-users-defect
7-Nov-15,http://www.bloomberg.com/news/articles/2015-11-07/apple-wins-dismissal-of-suit-over-retail-workers-bag-searches
6-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/barnes-noble-s-new-ceo-sees-non-book-items-as-key-to-holidays
6-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/what-every-wine-geek-needs-to-know-right-now
6-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/facebook-shows-why-it-s-the-year-of-the-mega-cap-in-u-s-stocks
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/add-a-fund-to-amazon-cart-you-have-indian-regulator-s-support
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/alibaba-said-to-be-discussing-80-million-investment-in-boxed
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/facebook-leapfrogs-ge-in-market-value-amid-blockbuster-revenue
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/studio-1-0-malcolm-gladwell-audio-
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/chinese-drones-in-silicon-valley-show-governments-startup-fever
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/eros-loses-investor-love-amid-questions-on-sales-user-numbers
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/these-are-the-20-richest-cities-in-america
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/cutting-the-cord-not-the-cost
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/cisco-s-new-ceo-embraces-the-cloud
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/the-netflix-effect-more-streaming-means-better-shows
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/how-mobile-buying-went-from-many-screens-to-one
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/chips-aren-t-getting-much-smaller-and-that-stinks-for-intel
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/the-best-places-to-build-data-centers
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/amazon-building-new-data-centers-in-south-korea-for-cloud-unit
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/jet-com-to-raise-funding-valuing-the-amazon-rival-at-1-5-billion
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/verizon-said-to-expand-go90-video-service-with-eye-on-pay-model
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/cannabis-fund-lures-employees-from-dea-amazon-in-expansion-push
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/shopify-raises-forecast-as-third-quarter-revenue-beats-estimates
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/time-warner-profit-tops-analysts-estimates-on-hbo-revenue
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/want-a-tech-job-no-need-to-study-in-silicon-valley
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/s-p-500-futures-hold-steady-before-facebook-results-tesla-jumps
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/temasek-seeks-cloud-startups-in-india-as-e-commerce-overheated-
