date,price_change,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors
2015-10-16,0.014792703,387,88,33,5032,20,4
2015-10-14,-0.007414842,362,65,36,5138,20,2
2015-10-15,0.03232198,293,44,9,3155,4,1
2015-10-18,0.004187424,155,34,13,1554,6,7
2015-10-19,0.004187424,1040,209,26,14923,16,5
2015-11-11,0.020570591,370,97,53,4424,41,14
2015-11-10,0.006392169,690,298,114,10032,85,33
2015-11-13,-0.034930891,232,100,24,3138,13,8
2015-11-12,-0.011362828,352,108,35,4267,17,6
2015-10-29,0.015313583,329,66,9,4107,6,1
2015-10-28,0.009967048,231,58,10,3221,6,4
2015-10-27,0.003943453,673,246,32,8296,15,7
2015-10-26,0.015992447,531,202,18,7916,13,6
2015-10-25,0.015992447,153,77,2,2411,0,2
2015-10-23,0.062279544,152,55,10,2819,6,0
2015-10-22,0.014646261,240,80,42,3496,26,9
2015-10-21,-0.009110656,494,98,16,5885,12,1
2015-10-20,-0.021408041,741,191,17,9162,12,1
2015-11-08,-0.005884412,291,95,21,4208,16,5
2015-11-09,-0.005884412,979,229,24,11505,19,6
2015-11-02,0.003914286,721,172,56,9569,35,15
2015-11-03,-0.004838033,369,79,25,4590,18,3
2015-11-01,0.003914286,47,13,9,585,9,3
2015-11-06,0.005673714,565,158,21,8721,6,3
2015-11-07,-0.005884412,334,174,36,4906,21,4
2015-11-04,0.025011617,594,178,49,7996,21,14
2015-11-05,0.022934725,514,174,14,6820,6,3
2015-10-30,-0.00103737,224,76,28,2874,22,5
2015-10-31,0.003914286,38,2,1,434,2,0
