date,name_mentioned0,pos_neighbors0,pos_neighbors1,name_mentioned1,price_change,neg1,total0,total1,neg_neighbors0,neg_neighbors1,neg0,pos0,pos1
2015-10-16,33,20,4,9,0.014792703,44,5032,3155,4,1,88,387,293
2015-10-15,9,4,20,36,0.03232198,65,3155,5138,1,2,44,293,362
2015-10-19,26,16,6,13,0.004187424,34,14923,1554,5,7,209,1040,155
2015-11-11,53,41,85,114,0.020570591,298,4424,10032,14,33,97,370,690
2015-11-10,114,85,19,24,0.006392169,229,10032,11505,33,6,298,690,979
2015-11-13,24,13,17,35,-0.034930891,108,3138,4267,8,6,100,232,352
2015-11-12,35,17,41,53,-0.011362828,97,4267,4424,6,14,108,352,370
2015-10-29,9,6,6,10,0.015313583,58,4107,3221,1,4,66,329,231
2015-10-28,10,6,15,32,0.009967048,246,3221,8296,4,7,58,231,673
2015-10-27,32,15,13,18,0.003943453,202,8296,7916,7,6,246,673,531
2015-10-26,18,13,0,2,0.015992447,77,7916,2411,6,2,202,531,153
2015-10-23,10,6,26,42,0.062279544,80,2819,3496,0,9,55,152,240
2015-10-22,42,26,12,16,0.014646261,98,3496,5885,9,1,80,240,494
2015-10-21,16,12,12,17,-0.009110656,191,5885,9162,1,1,98,494,741
2015-10-20,17,12,16,26,-0.021408041,209,9162,14923,1,5,191,741,1040
2015-11-08,21,16,21,36,-0.005884412,174,4208,4906,5,4,95,291,334
2015-11-09,24,19,16,21,-0.005884412,95,11505,4208,6,5,229,979,291
2015-11-02,56,35,9,9,0.003914286,13,9569,585,15,3,172,721,47
2015-11-03,25,18,35,56,-0.004838033,172,4590,9569,3,15,79,369,721
2015-11-01,9,9,2,1,0.003914286,2,585,434,3,0,13,47,38
2015-11-06,21,6,6,14,0.005673714,174,8721,6820,3,3,158,565,514
2015-11-07,36,21,6,21,-0.005884412,158,4906,8721,4,3,174,334,565
2015-11-04,49,21,18,25,0.025011617,79,7996,4590,14,3,178,594,369
2015-11-05,14,6,21,49,0.022934725,178,6820,7996,3,14,174,514,594
2015-10-30,28,22,6,9,-0.00103737,66,2874,4107,5,1,76,224,329
2015-10-31,1,2,22,28,0.003914286,76,434,2874,0,5,2,38,224
