date,pos,neg,name_mentioned,total,price_change
2015-10-19,25,9,1,433,0.004187424
2015-10-28,21,4,1,287,0.009967048
2015-10-27,21,5,7,288,0.003943453
2015-10-19,121,7,1,973,0.004187424
2015-10-31,38,2,1,434,0.003914286
2015-10-19,12,0,0,200,0.004187424
2015-10-22,31,3,1,531,0.014646261
2015-10-27,14,3,2,350,0.003943453
2015-10-26,23,7,1,316,0.015992447
2015-10-29,22,2,0,404,0.015313583
2015-10-16,90,12,1,863,0.014792703
2015-10-26,73,27,1,1009,0.015992447
2015-10-30,23,5,6,287,-0.00103737
2015-11-05,123,42,1,828,0.022934725
2015-10-23,6,3,1,117,0.062279544
2015-11-05,19,4,3,234,0.022934725
2015-10-28,25,11,0,314,0.009967048
2015-11-05,62,19,2,1114,0.022934725
2015-10-29,26,2,3,261,0.015313583
2015-10-16,18,6,2,536,0.014792703
2015-11-12,13,13,3,341,-0.011362828
2015-10-21,84,12,1,1020,-0.009110656
2015-11-09,24,2,1,439,-0.005884412
2015-11-10,53,33,35,921,0.006392169
2015-11-02,19,6,10,329,0.003914286
2015-11-04,37,11,1,484,0.025011617
2015-10-23,30,4,0,541,0.062279544
2015-11-02,63,8,0,506,0.003914286
2015-10-22,46,23,1,490,0.014646261
2015-10-16,27,4,6,307,0.014792703
2015-10-20,31,4,1,339,-0.021408041
2015-11-03,40,5,0,432,-0.004838033
2015-11-09,309,78,1,3491,-0.005884412
2015-10-20,48,15,0,462,-0.021408041
2015-10-16,53,2,0,598,0.014792703
2015-11-06,32,25,1,678,0.005673714
2015-11-13,52,42,4,818,-0.034930891
2015-11-10,23,24,2,520,0.006392169
2015-10-29,48,9,1,623,0.015313583
2015-10-30,28,6,1,315,-0.00103737
2015-11-06,65,17,2,758,0.005673714
2015-11-03,22,4,5,237,-0.004838033
2015-10-28,46,17,1,369,0.009967048
2015-10-27,30,5,0,476,0.003943453
2015-10-19,48,10,1,542,0.004187424
2015-10-27,48,21,1,935,0.003943453
2015-10-27,24,6,0,413,0.003943453
2015-10-20,61,24,1,1145,-0.021408041
2015-11-05,21,6,0,409,0.022934725
2015-10-20,10,3,1,233,-0.021408041
2015-11-10,72,36,9,953,0.006392169
2015-11-08,95,21,1,1581,-0.005884412
2015-10-20,50,11,1,717,-0.021408041
2015-11-09,178,47,1,1972,-0.005884412
2015-10-26,27,11,3,367,0.015992447
2015-11-09,67,29,5,934,-0.005884412
2015-11-04,2,2,0,61,0.025011617
2015-10-16,40,7,0,456,0.014792703
2015-10-19,39,2,10,517,0.004187424
2015-10-26,44,31,0,894,0.015992447
2015-11-09,66,12,1,596,-0.005884412
2015-10-30,32,9,19,501,-0.00103737
2015-10-20,54,3,1,515,-0.021408041
2015-11-11,36,26,3,468,0.020570591
2015-10-14,27,1,17,503,-0.007414842
2015-11-13,15,12,7,327,-0.034930891
2015-10-20,99,10,1,1177,-0.021408041
2015-10-25,65,46,1,1241,0.015992447
2015-11-11,67,5,0,673,0.020570591
2015-10-28,47,12,1,882,0.009967048
2015-10-15,31,2,3,338,0.03232198
2015-11-13,59,26,7,881,-0.034930891
2015-11-06,7,12,4,288,0.005673714
2015-10-26,16,1,0,283,0.015992447
2015-11-04,9944,14865,1,285452,0.025011617
2015-11-12,25,14,1,272,-0.011362828
2015-10-22,21,3,6,255,0.014646261
2015-10-15,19,15,1,298,0.03232198
2015-11-06,33,7,1,607,0.005673714
2015-11-11,75,18,4,722,0.020570591
2015-10-27,42,5,0,373,0.003943453
2015-11-12,70,8,1,641,-0.011362828
2015-10-18,36,2,1,390,0.004187424
2015-10-26,31,6,0,416,0.015992447
2015-11-03,72,2,2,375,-0.004838033
2015-11-03,23,5,1,308,-0.004838033
2015-11-03,26,4,1,414,-0.004838033
2015-11-07,50,29,1,1046,-0.005884412
2015-11-01,47,13,9,585,0.003914286
2015-11-02,90,35,6,1228,0.003914286
2015-11-12,34,7,1,351,-0.011362828
2015-11-07,52,15,11,754,-0.005884412
2015-10-29,60,13,2,725,0.015313583
2015-10-20,19,12,0,344,-0.021408041
2015-11-03,30,6,1,571,-0.004838033
2015-10-29,37,14,1,385,0.015313583
2015-11-03,17,19,1,431,-0.004838033
2015-10-14,45,13,1,904,-0.007414842
2015-10-20,48,10,3,614,-0.021408041
2015-10-26,31,23,4,479,0.015992447
2015-10-29,40,3,0,379,0.015313583
2015-11-03,26,11,1,352,-0.004838033
2015-11-09,34,11,0,438,-0.005884412
2015-11-10,49,56,16,925,0.006392169
2015-10-27,24,12,9,457,0.003943453
2015-11-06,84,30,1,1592,0.005673714
2015-11-12,29,10,13,494,-0.011362828
2015-10-23,54,13,4,807,0.062279544
2015-11-10,85,17,1,864,0.006392169
2015-10-27,96,7,1,904,0.003943453
2015-10-18,21,7,1,304,0.004187424
2015-11-02,36,4,3,397,0.003914286
2015-11-08,22,7,2,420,-0.005884412
2015-10-23,29,10,0,619,0.062279544
2015-10-29,54,7,1,614,0.015313583
2015-10-21,11,0,2,343,-0.009110656
2015-10-19,28,0,1,234,0.004187424
2015-10-26,42,20,0,1140,0.015992447
2015-10-30,11,6,1,326,-0.00103737
2015-10-25,64,24,1,773,0.015992447
2015-11-12,44,23,14,673,-0.011362828
2015-11-02,37,14,0,480,0.003914286
2015-10-19,243,53,2,3328,0.004187424
2015-10-15,12,12,1,215,0.03232198
2015-11-12,22,3,0,345,-0.011362828
2015-11-02,15,0,7,282,0.003914286
2015-10-27,96,38,3,770,0.003943453
2015-10-21,42,7,0,393,-0.009110656
2015-10-18,25,23,10,316,0.004187424
2015-10-21,94,13,1,835,-0.009110656
2015-11-10,65,40,15,856,0.006392169
2015-11-09,20,18,2,322,-0.005884412
2015-10-19,39,10,0,411,0.004187424
2015-11-10,52,3,16,627,0.006392169
2015-11-11,57,25,29,780,0.020570591
2015-10-22,25,15,16,539,0.014646261
2015-11-13,17,2,0,295,-0.034930891
2015-11-10,30,1,2,448,0.006392169
2015-10-19,27,26,5,439,0.004187424
2015-11-05,20,7,5,486,0.022934725
2015-11-10,92,18,2,1496,0.006392169
2015-11-11,30,1,1,404,0.020570591
