dates,article_links
12-Nov-15,http://www.bloomberg.com/news/articles/2015-11-12/activist-valueact-sells-25-of-microsoft-shares-after-stock-rise
12-Nov-15,http://www.bloomberg.com/news/articles/2015-11-12/u-s-cpi-b0j-draghi-g-20-atp-tennis-week-ahead-nov-14-21
12-Nov-15,http://www.bloomberg.com/news/articles/2015-11-12/kinect-s-rapid-decline-schools-microsoft-on-how-not-to-pitch-hololens
11-Nov-15,http://www.bloomberg.com/news/articles/2015-11-12/stanlib-kenya-real-estate-fund-eyes-rights-offers-every-2-years
11-Nov-15,http://www.bloomberg.com/news/features/2015-11-11/best-mens-weekend-bags-2015
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/bezos-overtakes-slim-as-world-s-fourth-richest-on-amazon-rally
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/u-s-futures-fall-after-worst-stock-drop-in-6-weeks-gap-slides
10-Nov-15,http://www.bloomberg.com/news/articles/2015-11-10/microsoft-offers-cloud-services-from-data-centers-based-in-u-k-
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/long-bond-sales-boom-as-metlife-plans-debt-it-can-repay-in-2046
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/google-seeks-to-influence-ai-research-by-giving-software-away
9-Nov-15,http://www.bloomberg.com/news/articles/2015-11-09/u-s-index-futures-decline-after-s-p-500-posts-sixth-weekly-gain
8-Nov-15,http://www.bloomberg.com/news/articles/2015-11-08/thyssenkrupp-to-achieve-elevator-profit-targets-before-2020
6-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/barnes-noble-s-new-ceo-sees-non-book-items-as-key-to-holidays
6-Nov-15,http://www.bloomberg.com/news/articles/2015-11-06/facebook-shows-why-it-s-the-year-of-the-mega-cap-in-u-s-stocks
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/facebook-nabs-microsoft-researchers-for-new-virtual-reality-team
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/the-netflix-effect-more-streaming-means-better-shows
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/microsoft-wants-to-be-loved
5-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/the-best-places-to-build-data-centers
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-05/amazon-building-new-data-centers-in-south-korea-for-cloud-unit
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/dropbox-ceo-touts-150-000-business-customers-goes-after-box
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/snb-s-stake-in-apple-microsoft-exxon-rose-in-third-quarter
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/cannabis-fund-lures-employees-from-dea-amazon-in-expansion-push
4-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/want-a-tech-job-no-need-to-study-in-silicon-valley
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/temasek-seeks-cloud-startups-in-india-as-e-commerce-overheated-
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-04/apple-google-microsoft-among-best-companies-protecting-climate
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-03/santander-plants-its-flag-in-the-hunt-for-financial-technology
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-03/google-wants-to-be-your-secretary-with-new-smart-e-mail
3-Nov-15,http://www.bloomberg.com/news/articles/2015-11-03/u-s-index-futures-little-changed-as-stocks-erase-august-losses
2-Nov-15,http://www.bloomberg.com/news/articles/2015-11-03/amazon-expands-parental-leave-benefits-for-employees
2-Nov-15,http://www.bloomberg.com/news/articles/2015-11-02/one-man-s-plan-to-build-singapore-in-india-sends-land-soaring
2-Nov-15,http://www.bloomberg.com/news/articles/2015-11-02/u-s-said-to-tap-ex-standard-chartered-lawyer-for-compliance-job
2-Nov-15,http://www.bloomberg.com/news/articles/2015-11-02/u-s-index-futures-erase-decline-after-europe-data-offsets-china
30-Oct-15,http://www.bloomberg.com/news/articles/2015-10-30/birinyi-sees-money-left-in-stocks-after-best-month-since-2011
30-Oct-15,http://www.bloomberg.com/news/articles/2015-10-30/meg-whitman-bets-smaller-hp-will-be-agile-enough-to-take-on-dell
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-30/fed-sparks-dash-for-cheap-debt-with-december-hike-back-on-table
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/apple-s-secrecy-hurts-its-ai-software-development
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/treasuries-decline-as-chances-of-2015-fed-rate-boost-reach-50-
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/microsoft-said-returning-to-bond-market-with-seven-part-offering
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/charting-the-markets-a-more-hawkish-fed-rattles-investors
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/airbnb-unleashes-clinton-era-operative-to-take-on-hometown-foes
28-Oct-15,http://www.bloomberg.com/news/articles/2015-10-28/flipboard-s-fanfare-fades-as-executives-exit-sale-talks-stall
28-Oct-15,http://www.bloomberg.com/news/articles/2015-10-28/the-no-3-apple-ios-e-mail-program-is-microsoft-s-outlook
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/apple-s-forecast-for-holiday-sales-falls-short-of-some-estimates
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/valeant-architect-bets-on-drugmaker-by-returning-to-the-board
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/why-video-game-franchises-never-die
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/convoy-debuts-aiming-to-be-the-uber-of-trucks
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/a-keurig-for-home-brewing-beer-will-give-you-small-batches-on-demand
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/lion-heads-arrive-in-record-numbers-as-u-s-considers-crackdown
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/google-turning-its-lucrative-web-search-over-to-ai-machines
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/oracle-s-ellison-says-cloud-industry-still-in-early-days-
25-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/japanese-stocks-rise-after-china-rate-cut-ahead-of-boj-meeting
25-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/-come-back-france-inc-begs-expats-in-call-to-build-next-uber
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-24/toshiba-in-talks-to-sell-image-sensor-business-to-sony-nikkei
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/stocks-roar-back-as-s-p-500-heads-for-best-month-in-four-years
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/ballmer-says-microsoft-has-advantage-over-amazon-in-hiring
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/facebook-hits-100-as-three-year-jump-adds-235-billion-to-stock
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/-100-billion-rally-coming-in-google-microsoft-amazon-shares
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/your-office-building-might-save-your-life
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/draghi-rally-tech-earnings-beat-and-europe-pmis-what-people-in-markets-are-talking-about
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/nasdaq-futures-jump-after-amazon-google-earnings-beat-targets
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/indonesia-may-open-e-commerce-movies-to-foreigners-by-mid-2016
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/microsoft-s-azure-had-about-400-million-sales-in-june-quarter
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/the-cloud-is-raining-cash-on-amazon-google-and-microsoft
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/asian-stocks-set-to-track-draghi-surge-while-nasdaq-futures-jump
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/investment-grade-ain-t-what-it-used-to-be-in-nervous-bond-market
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/strategists-looking-saner-as-tech-earnings-add-fuel-to-s-p-500
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/microsoft-s-first-quarter-profit-tops-estimates-on-cloud-growth
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/amazon-sales-top-estimates-on-prime-day-event-cloud-computing
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/fed-boj-u-s-gdp-deutsche-bank-apple-week-ahead-oct-24-31
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/u-s-wind-projects-triple-for-2015-with-amazon-hp-joining-push
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/u-s-index-futures-rise-as-earnings-pick-up-pace-ebay-rallies
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/microsoft-ceo-says-startup-overfunding-will-cause-correction
20-Oct-15,http://www.bloomberg.com/news/articles/2015-10-20/yahoo-sales-fall-short-of-estimates-amid-sluggish-ad-demand
20-Oct-15,http://www.bloomberg.com/news/articles/2015-10-20/cd-dvd-drive-makers-said-to-face-eu-antitrust-fines-wednesday-ifzfltg6
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/microsoft-nominates-peterson-warrior-to-board-as-klawe-exits
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/former-youtube-exec-s-startup-said-to-be-valued-at-400-million
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/uber-drivers-banker-beating-pay-in-india-cools-as-cabs-multiply
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/google-lures-corporate-cloud-buyers-by-cutting-transition-costs
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/u-s-stock-investors-hitting-exits-as-october-rebound-continues
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/garrett-fundraising-lags-as-wall-street-money-shies-away
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/ibm-gives-limited-access-of-software-code-to-chinese-government
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/ballmer-says-he-has-amassed-a-4-percent-stake-in-twitter
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/steve-ballmer-says-he-owns-4-stake-in-twitter
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/u-s-index-futures-little-changed-as-investors-weigh-earnings
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/last-christmas-s-3d-printers-gather-dust-as-stratasys-slumps
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/u-s-home-data-ecb-clinton-canada-vote-week-ahead-oct-17-24
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/hey-finance-twitter-you-are-about-to-become-an-etf
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/london-mayor-to-cities-resisting-uber-toothpaste-out-of-tube
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/blucora-to-buy-brokerage-hd-vest-financial-for-580-million
13-Oct-15,http://www.bloomberg.com/news/articles/2015-10-13/ubs-this-is-how-troubles-in-the-bond-market-could-impact-stocks
13-Oct-15,http://www.bloomberg.com/news/articles/2015-10-13/ruble-retreats-for-third-day-with-bonds-after-crude-oil-slumps
13-Oct-15,http://www.bloomberg.com/news/articles/2015-10-13/microsoft-taps-yandex-for-search-in-russia-to-fight-google
