date,price_change,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors
2015-10-16,0.010636035,381,75,21,4445,14,4
2015-10-14,-0.004478546,538,198,31,6409,23,4
2015-10-15,0.007069366,311,53,17,3231,9,1
2015-10-12,-0.0023349607,42,13,3,324,4,0
2015-10-13,-0.002340447,732,234,49,9132,27,8
2015-10-18,0.002315323,145,33,6,1950,3,1
2015-10-19,0.002315323,1033,254,41,17632,26,6
2015-11-11,0.002616408,619,112,22,9054,13,5
2015-11-10,-0.012001514,738,264,84,9611,46,38
2015-11-13,-0.009002251,561,176,26,6397,23,9
2015-11-12,-0.006151016,961,287,130,12400,84,23
2015-10-29,-0.011485717,365,56,40,4682,36,5
2015-10-28,0.005401397,441,153,53,5740,32,12
2015-10-27,-0.010322599,587,142,25,5946,22,5
2015-10-26,0.026101778,1003,290,80,15482,36,8
2015-10-23,0.100770354,615,225,80,9895,36,17
2015-10-22,0.017584703,710,222,60,9124,45,12
2015-10-21,-0.011932154,801,227,28,9966,20,8
2015-10-20,0.003149958,479,87,31,6111,17,0
2015-11-08,-0.013838274,257,97,26,3873,13,8
2015-11-09,-0.013838274,990,232,63,10863,38,16
2015-11-02,0.011398233,279,53,13,2811,4,8
2015-11-03,0.017092411,815,224,49,10770,23,16
2015-11-06,0.009930066,886,264,57,12527,26,17
2015-11-04,0.004616805,1144,343,54,14186,24,13
2015-11-05,-0.000367665,738,145,66,9219,38,13
2015-10-30,-0.013493291,159,46,9,2152,5,0
