date,name_mentioned0,pos_neighbors0,pos_neighbors1,name_mentioned1,price_change,neg1,total0,total1,neg_neighbors0,neg_neighbors1,neg0,pos0,pos1
2015-10-16,21,14,9,17,0.010636035,53,4445,3231,4,1,75,381,311
2015-10-14,31,23,27,49,-0.004478546,234,6409,9132,4,8,198,538,732
2015-10-15,17,9,23,31,0.007069366,198,3231,6409,1,4,53,311,538
2015-10-13,49,27,4,3,-0.002340447,13,9132,324,8,0,234,732,42
2015-10-19,41,26,3,6,0.002315323,33,17632,1950,6,1,254,1033,145
2015-11-11,22,13,46,84,0.002616408,264,9054,9611,5,38,112,619,738
2015-11-10,84,46,38,63,-0.012001514,232,9611,10863,38,16,264,738,990
2015-11-13,26,23,84,130,-0.009002251,287,6397,12400,9,23,176,561,961
2015-11-12,130,84,13,22,-0.006151016,112,12400,9054,23,5,287,961,619
2015-10-29,40,36,32,53,-0.011485717,153,4682,5740,5,12,56,365,441
2015-10-28,53,32,22,25,0.005401397,142,5740,5946,12,5,153,441,587
2015-10-27,25,22,36,80,-0.010322599,290,5946,15482,5,8,142,587,1003
2015-10-23,80,36,45,60,0.100770354,222,9895,9124,17,12,225,615,710
2015-10-22,60,45,20,28,0.017584703,227,9124,9966,12,8,222,710,801
2015-10-21,28,20,17,31,-0.011932154,87,9966,6111,8,0,227,801,479
2015-10-20,31,17,26,41,0.003149958,254,6111,17632,0,6,87,479,1033
2015-11-09,63,38,13,26,-0.013838274,97,10863,3873,16,8,232,990,257
2015-11-03,49,23,4,13,0.017092411,53,10770,2811,16,8,224,815,279
2015-11-06,57,26,38,66,0.009930066,145,12527,9219,17,13,264,886,738
2015-11-04,54,24,23,49,0.004616805,224,14186,10770,13,16,343,1144,815
2015-11-05,66,38,24,54,-0.000367665,343,9219,14186,13,13,145,738,1144
2015-10-30,9,5,36,40,-0.013493291,56,2152,4682,0,5,46,159,365
