date,name_mentioned0,pos_neighbors0,name_mentioned2,pos_neighbors1,name_mentioned1,neg2,price_change,neg1,total0,total1,total2,pos_neighbors2,neg_neighbors0,neg_neighbors1,neg_neighbors2,pos2,neg0,pos0,pos1
2015-10-16,21,14,31,9,17,198,0.010636035,53,4445,3231,6409,23,4,1,4,538,75,381,311
2015-10-14,31,23,3,27,49,13,-0.004478546,234,6409,9132,324,4,4,8,0,42,198,538,732
2015-10-15,17,9,49,23,31,234,0.007069366,198,3231,6409,9132,27,1,4,8,732,53,311,538
2015-11-11,22,13,63,46,84,232,0.002616408,264,9054,9611,10863,38,5,38,16,990,112,619,738
2015-11-10,84,46,26,38,63,97,-0.012001514,232,9611,10863,3873,13,38,16,8,257,264,738,990
2015-11-13,26,23,22,84,130,112,-0.009002251,287,6397,12400,9054,13,9,23,5,619,176,561,961
2015-11-12,130,84,84,13,22,264,-0.006151016,112,12400,9054,9611,46,23,5,38,738,287,961,619
2015-10-29,40,36,25,32,53,142,-0.011485717,153,4682,5740,5946,22,5,12,5,587,56,365,441
2015-10-28,53,32,80,22,25,290,0.005401397,142,5740,5946,15482,36,12,5,8,1003,153,441,587
2015-10-23,80,36,28,45,60,227,0.100770354,222,9895,9124,9966,20,17,12,8,801,225,615,710
2015-10-22,60,45,31,20,28,87,0.017584703,227,9124,9966,6111,17,12,8,0,479,222,710,801
2015-10-21,28,20,41,17,31,254,-0.011932154,87,9966,6111,17632,26,8,0,6,1033,227,801,479
2015-10-20,31,17,6,26,41,33,0.003149958,254,6111,17632,1950,3,0,6,1,145,87,479,1033
2015-11-06,57,26,54,38,66,343,0.009930066,145,12527,9219,14186,24,17,13,13,1144,264,886,738
2015-11-04,54,24,13,23,49,53,0.004616805,224,14186,10770,2811,4,13,16,8,279,343,1144,815
2015-11-05,66,38,49,24,54,224,-0.000367665,343,9219,14186,10770,23,13,13,16,815,145,738,1144
2015-10-30,9,5,53,36,40,153,-0.013493291,56,2152,4682,5740,32,0,5,12,441,46,159,365
