date,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors,price_change
2015-10-28,15,7,3,259,2,0,0.005401397
2015-10-16,8,4,1,261,0,0,0.010636035
2015-11-04,38,7,2,369,2,2,0.004616805
2015-10-19,12,0,0,200,0,0,0.002315323
2015-10-22,31,3,1,531,0,0,0.017584703
2015-10-26,26,7,2,346,2,1,0.026101778
2015-11-12,73,33,8,992,10,4,-0.006151016
2015-11-12,75,19,16,920,6,2,-0.006151016
2015-10-22,176,67,1,2305,1,0,0.017584703
2015-10-14,68,7,5,595,5,2,-0.004478546
2015-11-06,69,5,1,725,1,0,0.009930066
2015-10-14,26,4,1,323,2,0,-0.004478546
2015-10-29,22,2,1,404,0,0,-0.011485717
2015-11-05,29,3,1,333,2,0,-0.000367665
2015-10-16,90,12,1,863,1,0,0.010636035
2015-11-08,78,32,5,832,0,4,-0.013838274
2015-11-03,28,5,3,326,3,0,0.017092411
2015-10-13,57,3,1,423,0,0,-0.002340447
2015-11-06,39,4,2,405,0,0,0.009930066
2015-10-26,16,3,4,335,1,1,0.026101778
2015-10-30,18,3,4,261,2,0,-0.013493291
2015-10-21,29,7,1,406,0,0,-0.011932154
2015-10-15,90,17,10,817,7,1,0.007069366
2015-11-06,104,29,21,1662,13,4,0.009930066
2015-11-11,48,9,2,386,0,2,0.002616408
2015-10-20,37,7,8,611,4,0,0.003149958
2015-11-11,87,10,2,653,6,0,0.002616408
2015-11-10,38,22,3,524,0,2,-0.012001514
2015-10-20,26,3,8,406,3,0,0.003149958
2015-10-27,107,23,2,959,0,0,-0.010322599
2015-10-22,51,11,0,381,0,0,0.017584703
2015-10-26,55,44,0,775,0,0,0.026101778
2015-11-13,50,10,2,592,0,0,-0.009002251
2015-10-21,40,7,1,575,0,0,-0.011932154
2015-10-20,31,14,2,555,1,0,0.003149958
2015-11-04,94,32,15,1022,8,6,0.004616805
2015-11-04,37,11,0,484,0,0,0.004616805
2015-10-13,51,7,1,486,1,0,-0.002340447
2015-11-03,12277,9074,1,280626,1,0,0.017092411
2015-11-05,19,12,1,447,0,0,-0.000367665
2015-11-11,15,7,2,318,0,0,0.002616408
2015-10-26,121,19,1,912,0,0,0.026101778
2015-10-23,30,4,2,541,0,0,0.100770354
2015-10-19,42,6,5,602,5,0,0.002315323
2015-10-19,126,43,4,4185,0,0,0.002315323
2015-11-03,134,5,1,792,1,0,0.017092411
2015-10-26,34,8,1,513,0,0,0.026101778
2015-11-06,32,25,1,678,0,0,0.009930066
2015-11-03,15,3,5,264,1,0,0.017092411
2015-11-10,49,8,1,662,1,0,-0.012001514
2015-10-27,35,4,4,324,4,0,-0.010322599
2015-10-21,54,0,1,438,4,0,-0.011932154
2015-11-06,55,25,15,839,7,6,0.009930066
2015-10-22,35,11,1,486,1,0,0.017584703
2015-10-27,36,6,3,339,7,1,-0.010322599
2015-10-14,31,62,2,869,0,1,-0.004478546
2015-11-13,59,8,2,620,3,2,-0.009002251
2015-11-08,37,15,12,340,11,4,-0.013838274
2015-11-05,124,14,1,1300,0,0,-0.000367665
2015-10-16,25,11,5,371,0,1,0.010636035
2015-10-21,12,12,1,277,1,1,-0.011932154
2015-10-16,30,13,2,429,2,1,0.010636035
2015-11-03,32,14,1,872,0,0,0.017092411
2015-10-29,21,17,6,452,0,1,-0.011485717
2015-11-04,77,29,1,996,1,0,0.004616805
2015-10-28,60,5,8,635,3,1,0.005401397
2015-11-05,21,6,1,409,0,0,-0.000367665
2015-11-10,21,6,4,489,1,0,-0.012001514
2015-11-08,95,21,6,1581,2,0,-0.013838274
2015-11-05,18,1,4,250,1,0,-0.000367665
2015-10-22,107,17,1,1078,1,0,0.017584703
2015-11-03,18,9,1,406,1,0,0.017092411
2015-11-09,178,47,1,1972,1,0,-0.013838274
2015-10-19,18,7,6,269,3,0,0.002315323
2015-11-06,26,18,1,496,0,1,0.009930066
2015-11-05,56,3,1,662,0,0,-0.000367665
2015-11-08,47,29,3,1120,0,0,-0.013838274
2015-10-21,22,8,5,267,2,1,-0.011932154
2015-11-10,183,14,1,1351,1,0,-0.012001514
2015-10-23,32,11,4,575,0,0,0.100770354
2015-10-16,30,5,1,351,0,0,0.010636035
2015-11-05,39,5,1,505,2,0,-0.000367665
2015-11-03,74,13,1,778,0,0,0.017092411
2015-10-26,44,31,1,894,0,0,0.026101778
2015-10-19,18,3,1,516,0,0,0.002315323
2015-11-12,30,2,6,427,3,0,-0.006151016
2015-11-12,36,10,7,452,8,0,-0.006151016
2015-11-10,104,27,6,1106,4,2,-0.012001514
2015-10-20,99,10,2,1177,3,0,0.003149958
2015-10-21,61,20,1,704,0,0,-0.011932154
2015-10-29,123,12,4,1482,3,0,-0.011485717
2015-10-13,131,189,1,5999,1,0,-0.002340447
2015-11-05,37,1,1,364,0,0,-0.000367665
2015-11-03,40,4,2,328,2,1,0.017092411
2015-11-12,34,7,6,549,6,1,-0.006151016
2015-11-04,9944,14865,8,285452,6,3,0.004616805
2015-10-22,21,1,5,296,2,1,0.017584703
2015-11-02,36,21,7,510,1,6,0.011398233
2015-11-05,34,9,17,562,12,0,-0.000367665
2015-11-13,31,9,2,341,1,0,-0.009002251
2015-10-15,19,15,1,298,0,0,0.007069366
2015-10-23,41,21,13,895,2,4,0.100770354
2015-10-18,36,2,1,390,1,0,0.002315323
2015-11-09,50,2,1,376,3,0,-0.013838274
2015-10-26,31,6,0,416,0,0,0.026101778
2015-10-21,21,9,1,339,0,2,-0.011932154
2015-10-28,26,9,11,396,10,3,0.005401397
2015-10-19,26,22,2,450,0,0,0.002315323
2015-10-28,32,10,6,462,9,0,0.005401397
2015-10-13,37,2,10,637,5,1,-0.002340447
2015-10-28,45,11,8,653,5,1,0.005401397
2015-10-13,60,29,1,535,1,1,-0.002340447
2015-10-20,78,11,1,654,0,0,0.003149958
2015-10-20,19,12,0,344,0,0,0.003149958
2015-10-29,45,5,4,420,4,1,-0.011485717
2015-10-23,33,15,3,632,1,0,0.100770354
2015-11-09,77,59,20,1020,12,10,-0.013838274
2015-11-10,20,7,1,450,0,0,-0.012001514
2015-10-18,80,17,4,1047,1,1,0.002315323
2015-11-03,22,4,5,354,2,1,0.017092411
2015-10-16,57,1,2,526,3,0,0.010636035
2015-11-03,58,27,2,960,0,0,0.017092411
2015-10-26,25,11,5,369,0,0,0.026101778
2015-10-23,18,11,1,417,1,1,0.100770354
2015-10-14,29,5,5,479,4,1,-0.004478546
2015-10-23,54,13,4,807,3,0,0.100770354
2015-11-03,19,9,2,251,0,1,0.017092411
2015-10-13,13,4,2,290,0,0,-0.002340447
2015-10-13,27,3,4,287,5,0,-0.002340447
2015-10-27,29,5,1,437,1,0,-0.010322599
2015-10-21,16,1,0,203,0,0,-0.011932154
2015-11-13,71,74,1,1221,1,1,-0.009002251
2015-11-06,27,3,2,331,3,0,0.009930066
2015-10-16,11,1,6,112,6,0,0.010636035
2015-11-03,42,8,1,487,0,0,0.017092411
2015-11-13,50,4,1,429,0,0,-0.009002251
2015-11-12,70,58,15,955,17,5,-0.006151016
2015-10-23,29,10,0,619,0,0,0.100770354
2015-11-11,101,27,1,1547,0,1,0.002616408
2015-11-11,45,12,1,585,0,0,0.002616408
2015-11-10,28,23,3,456,2,4,-0.012001514
2015-10-19,0,0,0,3,0,0,0.002315323
2015-11-12,10,1,9,230,3,0,-0.006151016
2015-11-03,80,41,5,1152,2,6,0.017092411
2015-10-12,42,13,3,324,4,0,-0.0023349607
2015-10-21,11,0,1,343,2,0,-0.011932154
2015-10-26,42,20,1,1140,1,0,0.026101778
2015-10-16,15,15,1,386,0,1,0.010636035
2015-10-30,33,3,3,339,3,0,-0.013493291
2015-11-09,56,5,1,594,0,0,-0.013838274
2015-11-04,141,36,1,1288,0,0,0.004616805
2015-10-14,36,2,5,392,2,0,-0.004478546
2015-10-13,20,8,2,562,0,2,-0.002340447
2015-11-09,33,7,0,352,0,0,-0.013838274
2015-10-19,243,53,6,3328,11,2,0.002315323
2015-11-04,36,8,10,497,4,0,0.004616805
2015-11-13,139,50,11,1417,13,4,-0.009002251
2015-11-02,15,0,1,282,1,0,0.011398233
2015-10-27,96,38,3,770,0,0,-0.010322599
2015-10-23,36,3,3,448,3,1,0.100770354
2015-11-10,28,14,4,306,1,2,-0.012001514
2015-11-05,53,4,2,393,4,2,-0.000367665
2015-11-09,180,29,2,2068,1,0,-0.013838274
2015-11-09,18,5,2,207,1,0,-0.013838274
2015-10-19,18,10,4,334,0,2,0.002315323
2015-10-26,43,10,1,455,0,1,0.026101778
2015-11-13,19,11,2,320,1,2,-0.009002251
2015-11-09,21,9,5,282,1,1,-0.013838274
2015-11-05,28,6,2,344,1,1,-0.000367665
2015-10-23,14,6,3,251,1,0,0.100770354
2015-11-11,30,1,8,404,3,1,0.002616408
2015-10-26,42,8,2,452,0,0,0.026101778
2015-11-04,28,8,1,362,0,0,0.004616805
2015-11-04,3,1,2,236,0,0,0.004616805
2015-10-28,0,0,0,3,0,0,0.005401397
2015-10-13,83,15,4,833,5,0,-0.002340447
2015-11-02,141,18,1,1069,0,1,0.011398233
2015-10-28,51,23,2,827,0,0,0.005401397
2015-10-14,160,62,2,1835,1,0,-0.004478546
2015-10-26,75,22,9,729,3,0,0.026101778
2015-11-11,140,30,0,3314,0,0,0.002616408
2015-11-03,25,16,1,549,0,0,0.017092411
2015-11-04,87,12,1,838,1,0,0.004616805
2015-10-13,11,3,1,402,0,0,-0.002340447
2015-10-29,9,6,3,373,0,2,-0.011485717
2015-11-09,23,4,1,376,2,0,-0.013838274
2015-11-03,44,7,1,428,0,0,0.017092411
2015-10-30,78,21,1,938,0,0,-0.013493291
2015-11-04,61,4,4,579,1,0,0.004616805
2015-10-13,29,4,9,537,5,2,-0.002340447
2015-10-22,68,55,2,963,0,1,0.017584703
2015-11-12,49,11,1,664,1,0,-0.006151016
2015-10-27,32,4,1,556,1,0,-0.010322599
2015-11-12,43,7,2,459,1,1,-0.006151016
2015-11-03,13,3,1,368,0,0,0.017092411
2015-10-13,204,104,4,5140,0,0,-0.002340447
2015-11-12,41,2,1,495,0,0,-0.006151016
2015-10-26,58,7,1,750,1,0,0.026101778
2015-10-29,21,2,1,338,1,0,-0.011485717
2015-10-26,29,9,5,336,3,3,0.026101778
2015-11-10,29,17,9,425,8,7,-0.012001514
2015-11-02,24,9,3,327,1,1,0.011398233
2015-11-05,30,4,7,373,5,1,-0.000367665
2015-10-28,39,21,3,541,0,2,0.005401397
2015-11-12,32,4,1,441,1,0,-0.006151016
2015-11-12,48,22,2,613,0,0,-0.006151016
2015-11-12,32,7,1,431,0,0,-0.006151016
2015-11-13,72,1,3,639,3,0,-0.009002251
2015-11-04,28,11,1,621,1,0,0.004616805
2015-10-22,10,6,8,273,4,2,0.017584703
2015-11-05,49,37,19,798,8,9,-0.000367665
2015-10-13,120,34,1,1011,0,0,-0.002340447
2015-10-13,32,4,1,281,1,1,-0.002340447
2015-10-23,23,3,5,287,2,0,0.100770354
2015-10-13,23,6,7,323,2,1,-0.002340447
2015-11-11,42,1,2,673,1,0,0.002616408
2015-11-06,67,15,2,520,0,1,0.009930066
2015-10-21,44,11,1,561,1,0,-0.011932154
2015-11-06,32,0,1,193,2,0,0.009930066
2015-11-05,8,2,4,163,3,0,-0.000367665
2015-11-11,65,2,1,430,3,0,0.002616408
2015-10-21,92,44,3,1045,2,0,-0.011932154
2015-10-22,51,7,6,427,13,2,0.017584703
2015-11-06,49,10,2,891,0,0,0.009930066
2015-10-19,66,22,5,720,3,2,0.002315323
2015-10-26,83,7,38,1049,21,1,0.026101778
2015-11-03,32,5,1,363,2,0,0.017092411
2015-11-09,144,29,4,1260,2,0,-0.013838274
2015-10-18,29,14,1,513,1,0,0.002315323
2015-10-16,47,2,1,401,1,0,0.010636035
2015-11-03,47,10,1,715,0,0,0.017092411
2015-11-10,44,30,13,615,5,4,-0.012001514
2015-11-04,25,10,4,301,3,2,0.004616805
2015-10-20,34,2,4,555,1,0,0.003149958
2015-10-16,68,11,1,745,1,1,0.010636035
2015-10-19,200,43,2,4641,0,0,0.002315323
2015-10-23,77,4,0,478,0,0,0.100770354
2015-11-04,92,56,1,1058,0,0,0.004616805
2015-11-10,54,31,1,1001,0,0,-0.012001514
2015-10-14,19,2,9,317,5,0,-0.004478546
2015-10-13,37,12,1,435,0,0,-0.002340447
2015-10-19,56,6,0,404,0,0,0.002315323
2015-10-14,86,44,1,1030,2,0,-0.004478546
2015-11-06,78,86,1,1263,0,2,0.009930066
2015-10-21,103,25,1,951,2,0,-0.011932154
2015-11-04,21,9,4,358,2,1,0.004616805
2015-11-10,39,17,9,582,3,3,-0.012001514
2015-10-15,51,9,1,742,1,0,0.007069366
2015-11-04,79,28,2,1320,1,1,0.004616805
2015-10-29,35,3,8,398,6,1,-0.011485717
2015-10-27,51,13,6,682,6,3,-0.010322599
2015-10-21,38,28,6,593,1,4,-0.011932154
2015-10-29,20,4,0,283,0,0,-0.011485717
2015-10-30,30,19,1,614,0,0,-0.013493291
2015-10-15,59,4,1,504,0,0,0.007069366
2015-10-23,23,20,4,485,1,1,0.100770354
2015-11-12,83,26,1,709,0,0,-0.006151016
2015-10-23,22,9,3,305,1,0,0.100770354
2015-11-03,72,37,14,1064,9,7,0.017092411
2015-10-21,22,1,2,337,1,0,-0.011932154
2015-11-10,11,6,3,258,1,0,-0.012001514
2015-11-09,51,2,1,466,0,0,-0.013838274
2015-11-12,46,22,15,806,6,5,-0.006151016
2015-11-13,28,5,1,358,0,0,-0.009002251
2015-10-19,168,31,1,1400,0,0,0.002315323
2015-10-26,33,7,1,601,0,0,0.026101778
2015-10-20,19,3,6,304,5,0,0.003149958
2015-10-13,104,89,1,1591,0,0,-0.002340447
2015-11-10,40,9,7,453,9,4,-0.012001514
2015-10-27,22,22,1,334,2,1,-0.010322599
2015-10-23,53,27,17,940,11,6,0.100770354
2015-10-22,29,6,4,424,1,0,0.017584703
2015-10-26,40,3,1,369,2,0,0.026101778
2015-11-12,23,8,1,414,0,1,-0.006151016
2015-10-26,33,5,1,365,1,0,0.026101778
2015-10-19,35,8,5,446,4,0,0.002315323
2015-11-13,42,4,1,460,1,0,-0.009002251
2015-10-23,32,18,2,522,0,2,0.100770354
2015-11-04,91,40,1,1576,0,0,0.004616805
2015-10-28,95,38,1,825,1,0,0.005401397
2015-11-12,34,8,5,349,4,0,-0.006151016
2015-10-26,30,16,1,426,0,1,0.026101778
2015-10-13,28,11,3,499,2,0,-0.002340447
