date,article,tsla
2015-11-10,http://www.fool.com/investing/general/2015/11/10/how-tesla-motors-inc-plans-to-stay-ahead-with-its.aspx,tsla,
2015-11-09,http://www.fool.com/investing/general/2015/11/09/tesla-motors-incs-big-expectations-for-q4-in-3-cha.aspx,tsla,
2015-11-05,http://www.fool.com/investing/general/2015/11/05/what-tesla-motors-inc-management-wants-you-to-know.aspx,tsla,
2015-11-04,http://www.fool.com/investing/general/2015/11/04/tesla-motors-inc-and-michael-kors-jump-as-market-i.aspx,tsla,
2015-11-04,http://www.fool.com/investing/general/2015/11/04/why-tesla-motors-inc-stock-jumped-10.aspx,tsla,
2015-11-04,http://www.fool.com/investing/general/2015/11/03/tesla-motors-inc-earnings-huge-guidance-directs-fo.aspx,tsla,
2015-11-02,http://www.fool.com/investing/general/2015/11/02/what-to-watch-in-the-stock-market-this-week.aspx,tsla,
2015-10-31,http://www.fool.com/investing/general/2015/10/31/how-competitors-made-15-billion-tesla-motors-succe.aspx,tsla,
2015-10-29,http://www.fool.com/investing/general/2015/10/29/teslas-biggest-competitor-isnt-electric.aspx,tsla,
2015-10-26,http://www.fool.com/investing/general/2015/10/26/tesla-motors-inc-earnings-what-to-expect.aspx,tsla,
2015-10-24,http://www.fool.com/investing/general/2015/10/24/how-badly-consumer-reports-downgrade-hurt-tesla.aspx,tsla,
2015-10-23,http://www.fool.com/investing/general/2015/10/23/is-china-finally-a-key-catalyst-for-tesla-motors-i.aspx,tsla,
2015-10-23,http://www.fool.com/investing/general/2015/10/23/1-big-loser-in-consumer-reports-2015-annual-auto-r.aspx,tsla,
2015-10-22,http://www.fool.com/investing/general/2015/10/22/tesla-motors-inc-earnings-3-key-items-to-watch.aspx,tsla,
2015-10-21,http://www.fool.com/investing/general/2015/10/21/sorry-marty-mcfly-2015-is-cooler-than-you-think.aspx,tsla,
2015-10-18,http://www.fool.com/investing/general/2015/10/18/welcome-to-prime-time-driverless-cars.aspx,tsla,
2015-10-16,http://www.fool.com/investing/general/2015/10/16/following-x-launch-tesla-shifts-focus-to-affordabl.aspx,tsla,
2015-10-15,http://www.fool.com/investing/general/2015/10/15/tesla-motors-inc-flexes-fleet-learning-technology.aspx,tsla,
2015-10-13,http://www.fool.com/investing/general/2015/10/13/10-surprising-investments-successful-billionaires.aspx,tsla,
2015-11-11,http://www.ibtimes.com/press-release/20151111/chelsio-demonstrate-high-performance-cuda-clustering-40g-ethernet-nvidia,tsla,
2015-11-10,http://www.ibtimes.com/press-release/20151110/supermicror-1u-4u-gpu-superservers-7u-superblader-maximize-compute-density,tsla,
2015-11-09,http://www.ibtimes.com/press-release/20151109/united-states-advanced-energy-market-report-2015-2019-key-vendors-are-alstom,tsla,
