date,price_change,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors
2015-10-16,0.025755714,43,14,27,760,14,6
2015-10-14,-0.010809555,52,11,6,646,7,3
2015-10-15,0.020426009,50,19,26,725,16,4
2015-10-13,0.017023833,92,53,2,1453,0,0
2015-10-18,0.004801599,127,75,10,1591,5,5
2015-11-11,0.011916868,45,12,1,585,1,0
2015-11-10,-0.039186979,103,30,33,1264,20,7
2015-10-29,-0.006245313,55,23,13,733,11,3
2015-10-28,0.012407896,49,24,5,832,2,0
2015-10-27,-0.022809575,110,37,7,1494,1,2
2015-10-26,0.02950882,145,34,24,1702,8,7
2015-10-24,0.02950882,93,76,36,1508,15,16
2015-10-23,-0.01242209,98,62,21,1514,8,8
2015-10-22,0.007758604,64,13,28,791,16,3
2015-10-21,-0.013800887,50,23,5,583,5,0
2015-10-20,-0.066067543,13,19,11,313,4,7
2015-11-08,-0.030254773,133,38,0,2265,0,0
2015-11-09,-0.030254773,747,144,27,8812,26,5
2015-11-02,0.033151308,106,55,12,2055,6,1
2015-11-03,-0.025445471,170,104,50,3131,23,10
2015-11-01,0.033151308,13,12,2,459,1,0
2015-11-06,0.002545614,618,190,16,9314,6,6
2015-11-07,-0.030254773,69,21,0,775,0,0
2015-11-04,0.111735053,340,163,58,6080,37,13
2015-11-05,0.000604408,176,64,41,2177,30,9
2015-10-31,0.033151308,42,21,22,764,11,2
