date,name_mentioned0,pos_neighbors0,pos_neighbors1,name_mentioned1,price_change,neg1,total0,total1,neg_neighbors0,neg_neighbors1,neg0,pos0,pos1
2015-10-16,27,14,16,26,0.025755714,19,760,725,6,4,14,43,50
2015-10-14,6,7,0,2,-0.010809555,53,646,1453,3,0,11,52,92
2015-10-15,26,16,7,6,0.020426009,11,725,646,4,3,19,50,52
2015-11-11,1,1,20,33,0.011916868,30,585,1264,0,7,12,45,103
2015-11-10,33,20,26,27,-0.039186979,144,1264,8812,7,5,30,103,747
2015-10-29,13,11,2,5,-0.006245313,24,733,832,3,0,23,55,49
2015-10-28,5,2,1,7,0.012407896,37,832,1494,0,2,24,49,110
2015-10-27,7,1,8,24,-0.022809575,34,1494,1702,2,7,37,110,145
2015-10-24,36,15,8,21,0.02950882,62,1508,1514,16,8,76,93,98
2015-10-23,21,8,16,28,-0.01242209,13,1514,791,8,3,62,98,64
2015-10-22,28,16,5,5,0.007758604,23,791,583,3,0,13,64,50
2015-10-21,5,5,4,11,-0.013800887,19,583,313,0,7,23,50,13
2015-11-08,0,0,0,0,-0.030254773,21,2265,775,0,0,38,133,69
2015-11-09,27,26,0,0,-0.030254773,38,8812,2265,5,0,144,747,133
2015-11-02,12,6,1,2,0.033151308,12,2055,459,1,0,55,106,13
2015-11-03,50,23,6,12,-0.025445471,55,3131,2055,10,1,104,170,106
2015-11-01,2,1,11,22,0.033151308,21,459,764,0,2,12,13,42
2015-11-06,16,6,30,41,0.002545614,64,9314,2177,6,9,190,618,176
2015-11-07,0,0,6,16,-0.030254773,190,775,9314,0,6,21,69,618
2015-11-04,58,37,23,50,0.111735053,104,6080,3131,13,10,163,340,170
2015-11-05,41,30,37,58,0.000604408,163,2177,6080,9,13,64,176,340
