pos,neg,name_mentioned,total,price_change
27,17,9,435,-0.025445471
23,3,0,439,-0.030254773
3629,2483,1,62425,-0.022809575
14,4,1,370,0.111735053
43,20,22,764,0.033151308
309,78,0,3491,-0.030254773
31,26,0,678,0.002545614
49,6,0,429,-0.030254773
65,17,0,758,0.002545614
1,2,2,90,-0.025445471
46,2,7,460,-0.039186979
96,20,0,1581,-0.030254773
127,75,10,1591,0.004801599
40,19,14,641,-0.025445471
71,25,26,804,0.000604408
84,25,2,1117,-0.022809575
66,12,0,596,-0.030254773
33,23,12,619,0.111735053
92,53,2,1453,0.017023833
49,8,1,451,0.000604408
54,42,5,777,-0.01242209
52,11,6,646,-0.010809555
20,5,4,358,-0.025445471
35,10,0,438,-0.030254773
84,30,0,1592,0.002545614
22,7,0,420,-0.030254773
44,18,20,606,0.111735053
44,13,1,585,0.011916868
50,19,26,725,0.020426009
57,28,26,804,-0.039186979
29,9,5,373,0.002545614
29,9,5,377,-0.022809575
36,7,3,434,0.002545614
49,13,0,371,0.002545614
13,19,11,313,-0.066067543
23,2,0,286,-0.030254773
29,10,9,346,0.111735053
65,19,26,693,-0.030254773
47,37,0,1031,0.111735053
23,4,0,376,-0.030254773
15,1,4,192,-0.025445471
87,9,2,936,0.02950882
37,20,10,657,0.000604408
52,21,5,583,-0.013800887
34,32,11,749,-0.025445471
59,33,8,835,0.033151308
64,13,28,791,0.007758604
106,8,0,1269,-0.030254773
48,35,3,1224,0.111735053
61,8,1,984,0.111735053
19,11,4,265,0.000604408
49,24,5,832,0.012407896
0,0,0,3,-0.025445471
44,20,16,737,-0.01242209
54,24,13,733,-0.006245313
29,0,1,396,-0.030254773
47,22,4,1220,0.033151308
23,20,2,485,-0.025445471
50,18,0,836,0.002545614
61,26,10,797,0.111735053
76,22,0,829,0.002545614
119,0,0,2131,0.002545614
95,74,36,1508,0.02950882
11,7,4,178,-0.025445471
13,12,2,459,0.033151308
69,21,0,775,-0.030254773
58,25,22,766,0.02950882
4,1,2,103,0.111735053
16,10,0,264,-0.030254773
43,14,27,760,0.025755714
32,31,8,681,0.002545614
20,1,0,399,-0.030254773
52,12,0,631,0.002545614
